Alias;Канонический key;Название города в UI;canonical_city_id;region;region_id;country;Район
Ставрополь;Stavropol;Ставрополь;561;Ставропольский Край;27;Россия;
Старая Ладога;Staraya Ladoga;Старая Ладога;562;Ленинградская Область;48;Россия;
Стризнево;Striznevo;Стризнево;565;Вологодская Область;36;Россия;Вологодский
Ступино, московская область, россия;Stupino;Ступино;566;Московская область;0;Россия;
Суздальский р-н село Сновицы;Snovitsy;Сновицы;546;Владимирская Область;34;Россия;
Сумский Посад;Sumskiy Posad;Сумский Посад;567;Карелия Республика;11;Россия;
Сыктывкар;Syktyvkar;Сыктывкар;570;Коми Республика;12;Россия;
Сямжа;Syamzha;Сямжа;571;Вологодская Область;36;Россия;Сямженский
Сямженский район;Syamzha;Сямжа;571;Вологодская Область;36;Россия;Сямженский
Тавда;Tavda;Тавда;572;Свердловская Область;67;Россия;
Тамбов;Tambov;Тамбов;574;Тамбовская Область;69;Россия;
Тарногский городок;Tarnogskiy gorodok;Тарногский городок;577;Вологодская Область;36;Россия;Тарногский
Тарногский Район;Tarnogskiy gorodok;Тарногский городок;577;Вологодская Область;36;Россия;Тарногский
Ташто Кшуманьця;Tashto Kshumantsya;Ташто Кшуманьця;579;Мордовия Республика;14;Россия;
Терновский район, с.Козловка;Kozlovka;Козловка;252;Воронежская Область;37;Россия;
Тихвин г;Tikhvin;Тихвин;581;Ленинградская Область;48;Россия;
Товарково;Tovarkovo;Товарково;582;Калужская Область;41;Россия;
токарево;Tokarevo;Токарево;583;Вологодская Область;36;Россия;Вологодский
Томск;Tomsk;Томск;586;Томская Область;71;Россия;
Тоншалово;Tonshalovo;Тоншалово;587;Вологодская Область;36;Россия;Череповецкий
Торжок;Torzhok;Торжок;588;Тверская Область;70;Россия;
Тотемский район, село Успенье;Uspene;Успенье;610;Вологодская Область;36;Россия;Тотемский
Тотемский р-н, пос. Юбилейный;Yubileynyy;Юбилейный;682;Вологодская Область;36;Россия;Тотемский
Тотьма;Totma;Тотьма;589;Вологодская Область;36;Россия;Тотемский
Троице-Сельцо;Troitse-Seltso;Троице-Сельцо;590;Московская Область;51;Россия;
Троицк / CБ Лесная;Troitsk;Троицк;591;г. Москва;122;Россия;
Троицко-Печорск;Troitsko-Pechorsk;Троицко-Печорск;592;Коми Республика;12;Россия;
Туапсе;Tuapse;Туапсе;593;Краснодарский Край;24;Россия;
Тутаев;Tutaev;Тутаев;595;Ярославская Область;77;Россия;
Улейма;Uleyma;Улейма;601;Ярославская Область;77;Россия;
Урай;Uray;Урай;603;Ханты-Мансийский АО - Югра Автономный округ;82;Россия;
Уральск;Uralsk;Уральск;604;Западный Казахстан;93;Казахстан;
Урдома;Urdoma;Урдома;606;Архангельская Область;30;Россия;
Уржум;Urzhum;Уржум;607;Кировская Область;44;Россия;
Усинск;Usinsk;Усинск;609;Коми Республика;12;Россия;
Усть Кубинский район село Устье;Uste;Устье;613;Вологодская Область;36;Россия;Усть-Кубенский
Усть-Вага;Ust-Vaga;Усть-Вага;612;Архангельская Область;30;Россия;
Устье;Uste;Устье;613;Вологодская Область;36;Россия;Усть-Кубенский
Усть-Кубинский район, село Бережное;Ust-Kubinskiy rayon, selo Berezhnoe;Усть-Кубинский район, село Бережное;614;Вологодская Область;36;Россия;Усть-Кубенский
Усть-Мая;Ust-Maya;Усть-Мая;615;Саха /Якутия/ Республика;15;Россия;
Устюженский район;Ustyuzhna;Устюжна;617;Вологодская Область;36;Россия;Устюженский
Устюжна;Ustyuzhna;Устюжна;617;Вологодская Область;36;Россия;Устюженский
Устюжна, Вологодская область, Россия;Ustyuzhna;Устюжна;617;Вологодская Область;36;Россия;Устюженский
Уфа;Ufa;Уфа;619;Башкортостан Республика;3;Россия;
УХТА (Город);Ukhta;Ухта;620;Коми Республика;12;Россия;
Ухта, Республика Коми;Ukhta;Ухта;620;Коми Республика;12;Россия;
Фёдоровское;Fyodorovskoe;Фёдоровское;621;Ленинградская Область;48;Россия;
Федоскино;Fedoskino;Федоскино;622;Московская Область;51;Россия;
Федотово;Fedotovo;Федотово;623;Вологодская Область;36;Россия;Вологодский
Федотово дом 20 кв 20;Fedotovo;Федотово;623;Вологодская Область;36;Россия;Вологодский
Фетинино;Fetinino;Фетинино;624;Вологодская Область;36;Россия;Вологодский
фофанцево;Fofantsevo;Фофанцево;625;Вологодская Область;36;Россия;Вологодский
Фурманов;Furmanov;Фурманов;628;Ивановская Область;38;Россия;
Хабаровск;Khabarovsk;Хабаровск;629;Хабаровский Край;28;Россия;
